yearR,month,monthnumber,code,Radial_Velocity,Imaging,Eclipse_Timing_Variations,Transit,Astrometry,Disk_Kinematics,Orbital_Brightness_Modulation,Pulsation_Timing_Variations,Microlensing,Transit_Timing_Variations,Pulsar_Timing
1989,05,5,1989-05,1,0,0,0,0,0,0,0,0,0,0
1989,06,6,1989-06,1,0,0,0,0,0,0,0,0,0,0
1989,07,7,1989-07,1,0,0,0,0,0,0,0,0,0,0
1989,08,8,1989-08,1,0,0,0,0,0,0,0,0,0,0
1989,09,9,1989-09,1,0,0,0,0,0,0,0,0,0,0
1989,10,10,1989-10,1,0,0,0,0,0,0,0,0,0,0
1989,11,11,1989-11,1,0,0,0,0,0,0,0,0,0,0
1989,12,12,1989-12,1,0,0,0,0,0,0,0,0,0,0
1990,01,1,1990-01,1,0,0,0,0,0,0,0,0,0,0
1990,02,2,1990-02,1,0,0,0,0,0,0,0,0,0,0
1990,03,3,1990-03,1,0,0,0,0,0,0,0,0,0,0
1990,04,4,1990-04,1,0,0,0,0,0,0,0,0,0,0
1990,05,5,1990-05,1,0,0,0,0,0,0,0,0,0,0
1990,06,6,1990-06,1,0,0,0,0,0,0,0,0,0,0
1990,07,7,1990-07,1,0,0,0,0,0,0,0,0,0,0
1990,08,8,1990-08,1,0,0,0,0,0,0,0,0,0,0
1990,09,9,1990-09,1,0,0,0,0,0,0,0,0,0,0
1990,10,10,1990-10,1,0,0,0,0,0,0,0,0,0,0
1990,11,11,1990-11,1,0,0,0,0,0,0,0,0,0,0
1990,12,12,1990-12,1,0,0,0,0,0,0,0,0,0,0
1991,01,1,1991-01,1,0,0,0,0,0,0,0,0,0,0
1991,02,2,1991-02,1,0,0,0,0,0,0,0,0,0,0
1991,03,3,1991-03,1,0,0,0,0,0,0,0,0,0,0
1991,04,4,1991-04,1,0,0,0,0,0,0,0,0,0,0
1991,05,5,1991-05,1,0,0,0,0,0,0,0,0,0,0
1991,06,6,1991-06,1,0,0,0,0,0,0,0,0,0,0
1991,07,7,1991-07,1,0,0,0,0,0,0,0,0,0,0
1991,08,8,1991-08,1,0,0,0,0,0,0,0,0,0,0
1991,09,9,1991-09,1,0,0,0,0,0,0,0,0,0,0
1991,10,10,1991-10,1,0,0,0,0,0,0,0,0,0,0
1991,11,11,1991-11,1,0,0,0,0,0,0,0,0,0,0
1991,12,12,1991-12,1,0,0,0,0,0,0,0,0,0,0
1992,01,1,1992-01,1,0,0,0,0,0,0,0,0,0,2
1992,02,2,1992-02,1,0,0,0,0,0,0,0,0,0,2
1992,03,3,1992-03,1,0,0,0,0,0,0,0,0,0,2
1992,04,4,1992-04,1,0,0,0,0,0,0,0,0,0,2
1992,05,5,1992-05,1,0,0,0,0,0,0,0,0,0,2
1992,06,6,1992-06,1,0,0,0,0,0,0,0,0,0,2
1992,07,7,1992-07,1,0,0,0,0,0,0,0,0,0,2
1992,08,8,1992-08,1,0,0,0,0,0,0,0,0,0,2
1992,09,9,1992-09,1,0,0,0,0,0,0,0,0,0,2
1992,10,10,1992-10,1,0,0,0,0,0,0,0,0,0,2
1992,11,11,1992-11,1,0,0,0,0,0,0,0,0,0,2
1992,12,12,1992-12,1,0,0,0,0,0,0,0,0,0,2
1993,01,1,1993-01,1,0,0,0,0,0,0,0,0,0,2
1993,02,2,1993-02,1,0,0,0,0,0,0,0,0,0,2
1993,03,3,1993-03,1,0,0,0,0,0,0,0,0,0,2
1993,04,4,1993-04,1,0,0,0,0,0,0,0,0,0,2
1993,05,5,1993-05,1,0,0,0,0,0,0,0,0,0,2
1993,06,6,1993-06,1,0,0,0,0,0,0,0,0,0,2
1993,07,7,1993-07,1,0,0,0,0,0,0,0,0,0,2
1993,08,8,1993-08,1,0,0,0,0,0,0,0,0,0,2
1993,09,9,1993-09,1,0,0,0,0,0,0,0,0,0,2
1993,10,10,1993-10,1,0,0,0,0,0,0,0,0,0,2
1993,11,11,1993-11,1,0,0,0,0,0,0,0,0,0,2
1993,12,12,1993-12,1,0,0,0,0,0,0,0,0,0,2
1994,01,1,1994-01,1,0,0,0,0,0,0,0,0,0,2
1994,02,2,1994-02,1,0,0,0,0,0,0,0,0,0,2
1994,03,3,1994-03,1,0,0,0,0,0,0,0,0,0,2
1994,04,4,1994-04,1,0,0,0,0,0,0,0,0,0,3
1994,05,5,1994-05,1,0,0,0,0,0,0,0,0,0,3
1994,06,6,1994-06,1,0,0,0,0,0,0,0,0,0,3
1994,07,7,1994-07,1,0,0,0,0,0,0,0,0,0,3
1994,08,8,1994-08,1,0,0,0,0,0,0,0,0,0,3
1994,09,9,1994-09,1,0,0,0,0,0,0,0,0,0,3
1994,10,10,1994-10,1,0,0,0,0,0,0,0,0,0,3
1994,11,11,1994-11,1,0,0,0,0,0,0,0,0,0,3
1994,12,12,1994-12,1,0,0,0,0,0,0,0,0,0,3
